symbol,security_id,exchange,segment,instrument
SILVERM NOV FUT,440938,MCX,M,FUTCOM
GOLD OCT FUT,440939,MCX,M,FUTCOM
GOLD DEC FUT,445003,MCX,M,FUTCOM
SILVER DEC FUT,445004,MCX,M,FUTCOM
CRUDEOIL OCT FUT,455865,MCX,M,FUTCOM
CRUDEOILM OCT FUT,455866,MCX,M,FUTCOM
NATURALGAS OCT FUT,456791,MCX,M,FUTCOM
NATURALGASM OCT FUT,456792,MCX,M,FUTCOM
CRUDEOIL NOV FUT,457886,MCX,M,FUTCOM
CRUDEOILM NOV FUT,457887,MCX,M,FUTCOM
NATURALGAS NOV FUT,458147,MCX,M,FUTCOM
NATURALGASM NOV FUT,458148,MCX,M,FUTCOM
COPPER OCT FUT,458295,MCX,M,FUTCOM
COPPER NOV FUT,463272,MCX,M,FUTCOM
GOLDM OCT FUT,463393,MCX,M,FUTCOM
GOLDM NOV FUT,466161,MCX,M,FUTCOM
GOLDM DEC FUT,470295,MCX,M,FUTCOM
BANKNIFTY NOV FUT,37051,NSE,D,FUTIDX
FINNIFTY NOV FUT,37052,NSE,D,FUTIDX
MIDCPNIFTY NOV FUT,37053,NSE,D,FUTIDX
NIFTY NOV FUT,37054,NSE,D,FUTIDX
NIFTYNXT50 NOV FUT,38312,NSE,D,FUTIDX
360ONE NOV FUT,38313,NSE,D,FUTSTK
ABB NOV FUT,38314,NSE,D,FUTSTK
ABCAPITAL NOV FUT,38315,NSE,D,FUTSTK
ADANIENSOL NOV FUT,38316,NSE,D,FUTSTK
ADANIENT NOV FUT,38317,NSE,D,FUTSTK
ADANIGREEN NOV FUT,39028,NSE,D,FUTSTK
ADANIPORTS NOV FUT,39029,NSE,D,FUTSTK
ALKEM NOV FUT,39030,NSE,D,FUTSTK
AMBER NOV FUT,39031,NSE,D,FUTSTK
AMBUJACEM NOV FUT,44170,NSE,D,FUTSTK
ANGELONE NOV FUT,44171,NSE,D,FUTSTK
APLAPOLLO NOV FUT,44172,NSE,D,FUTSTK
APOLLOHOSP NOV FUT,44173,NSE,D,FUTSTK
ASHOKLEY NOV FUT,44178,NSE,D,FUTSTK
ASIANPAINT NOV FUT,44179,NSE,D,FUTSTK
ASTRAL NOV FUT,46470,NSE,D,FUTSTK
AUBANK NOV FUT,46472,NSE,D,FUTSTK
AUROPHARMA NOV FUT,46473,NSE,D,FUTSTK
AXISBANK NOV FUT,46477,NSE,D,FUTSTK
BAJAJ-AUTO NOV FUT,48573,NSE,D,FUTSTK
BAJAJFINSV NOV FUT,48574,NSE,D,FUTSTK
BAJFINANCE NOV FUT,48575,NSE,D,FUTSTK
171NSETEST NOV FUT,48576,NSE,D,FUTSTK
181NSETEST NOV FUT,48577,NSE,D,FUTSTK
BANDHANBNK NOV FUT,48578,NSE,D,FUTSTK
BANKBARODA NOV FUT,48579,NSE,D,FUTSTK
BANKINDIA NOV FUT,48580,NSE,D,FUTSTK
BDL NOV FUT,48581,NSE,D,FUTSTK
BEL NOV FUT,48582,NSE,D,FUTSTK
BHARATFORG NOV FUT,48586,NSE,D,FUTSTK
BHARTIARTL NOV FUT,48587,NSE,D,FUTSTK
BHEL NOV FUT,48588,NSE,D,FUTSTK
BIOCON NOV FUT,48594,NSE,D,FUTSTK
BLUESTARCO NOV FUT,48595,NSE,D,FUTSTK
BOSCHLTD NOV FUT,48596,NSE,D,FUTSTK
BPCL NOV FUT,48597,NSE,D,FUTSTK
BRITANNIA NOV FUT,48598,NSE,D,FUTSTK
BSE NOV FUT,48599,NSE,D,FUTSTK
CAMS NOV FUT,48600,NSE,D,FUTSTK
CANBK NOV FUT,48602,NSE,D,FUTSTK
CDSL NOV FUT,48603,NSE,D,FUTSTK
CGPOWER NOV FUT,48605,NSE,D,FUTSTK
CHOLAFIN NOV FUT,48606,NSE,D,FUTSTK
CIPLA NOV FUT,48607,NSE,D,FUTSTK
COALINDIA NOV FUT,48608,NSE,D,FUTSTK
COFORGE NOV FUT,48609,NSE,D,FUTSTK
COLPAL NOV FUT,48610,NSE,D,FUTSTK
CONCOR NOV FUT,48612,NSE,D,FUTSTK
CROMPTON NOV FUT,48613,NSE,D,FUTSTK
CUMMINSIND NOV FUT,48614,NSE,D,FUTSTK
CYIENT NOV FUT,48618,NSE,D,FUTSTK
DABUR NOV FUT,48619,NSE,D,FUTSTK
DALBHARAT NOV FUT,48624,NSE,D,FUTSTK
DELHIVERY NOV FUT,48625,NSE,D,FUTSTK
DIVISLAB NOV FUT,48626,NSE,D,FUTSTK
DIXON NOV FUT,48627,NSE,D,FUTSTK
DLF NOV FUT,48630,NSE,D,FUTSTK
DMART NOV FUT,48631,NSE,D,FUTSTK
DRREDDY NOV FUT,48632,NSE,D,FUTSTK
EICHERMOT NOV FUT,48633,NSE,D,FUTSTK
ETERNAL NOV FUT,48634,NSE,D,FUTSTK
EXIDEIND NOV FUT,48635,NSE,D,FUTSTK
FEDERALBNK NOV FUT,48636,NSE,D,FUTSTK
FORTIS NOV FUT,48637,NSE,D,FUTSTK
GAIL NOV FUT,48638,NSE,D,FUTSTK
GLENMARK NOV FUT,48639,NSE,D,FUTSTK
GMRAIRPORT NOV FUT,48640,NSE,D,FUTSTK
GODREJCP NOV FUT,48641,NSE,D,FUTSTK
GODREJPROP NOV FUT,48642,NSE,D,FUTSTK
GRASIM NOV FUT,48643,NSE,D,FUTSTK
HAL NOV FUT,48644,NSE,D,FUTSTK
HAVELLS NOV FUT,48649,NSE,D,FUTSTK
HCLTECH NOV FUT,48650,NSE,D,FUTSTK
HDFCAMC NOV FUT,48651,NSE,D,FUTSTK
HDFCBANK NOV FUT,48652,NSE,D,FUTSTK
HDFCLIFE NOV FUT,48657,NSE,D,FUTSTK
HEROMOTOCO NOV FUT,48658,NSE,D,FUTSTK
HFCL NOV FUT,48671,NSE,D,FUTSTK
HINDALCO NOV FUT,48672,NSE,D,FUTSTK
HINDPETRO NOV FUT,48693,NSE,D,FUTSTK
HINDUNILVR NOV FUT,48694,NSE,D,FUTSTK
HINDZINC NOV FUT,48699,NSE,D,FUTSTK
HUDCO NOV FUT,48700,NSE,D,FUTSTK
ICICIBANK NOV FUT,48707,NSE,D,FUTSTK
ICICIGI NOV FUT,48708,NSE,D,FUTSTK
ICICIPRULI NOV FUT,48732,NSE,D,FUTSTK
IDEA NOV FUT,48733,NSE,D,FUTSTK
IDFCFIRSTB NOV FUT,48734,NSE,D,FUTSTK
IEX NOV FUT,48735,NSE,D,FUTSTK
IGL NOV FUT,48742,NSE,D,FUTSTK
IIFL NOV FUT,48743,NSE,D,FUTSTK
INDHOTEL NOV FUT,48746,NSE,D,FUTSTK
INDIANB NOV FUT,48747,NSE,D,FUTSTK
INDIGO NOV FUT,48750,NSE,D,FUTSTK
INDUSINDBK NOV FUT,48751,NSE,D,FUTSTK
INDUSTOWER NOV FUT,48782,NSE,D,FUTSTK
INFY NOV FUT,48783,NSE,D,FUTSTK
INOXWIND NOV FUT,48797,NSE,D,FUTSTK
IOC NOV FUT,48798,NSE,D,FUTSTK
IRCTC NOV FUT,48799,NSE,D,FUTSTK
IREDA NOV FUT,48800,NSE,D,FUTSTK
IRFC NOV FUT,48802,NSE,D,FUTSTK
ITC NOV FUT,48803,NSE,D,FUTSTK
JINDALSTEL NOV FUT,48810,NSE,D,FUTSTK
JIOFIN NOV FUT,48811,NSE,D,FUTSTK
JSWENERGY NOV FUT,48816,NSE,D,FUTSTK
JSWSTEEL NOV FUT,48817,NSE,D,FUTSTK
JUBLFOOD NOV FUT,48839,NSE,D,FUTSTK
KALYANKJIL NOV FUT,48840,NSE,D,FUTSTK
KAYNES NOV FUT,48850,NSE,D,FUTSTK
KEI NOV FUT,48851,NSE,D,FUTSTK
KFINTECH NOV FUT,48857,NSE,D,FUTSTK
KOTAKBANK NOV FUT,48858,NSE,D,FUTSTK
KPITTECH NOV FUT,48859,NSE,D,FUTSTK
LAURUSLABS NOV FUT,48860,NSE,D,FUTSTK
LICHSGFIN NOV FUT,48864,NSE,D,FUTSTK
LICI NOV FUT,48865,NSE,D,FUTSTK
LODHA NOV FUT,48873,NSE,D,FUTSTK
LT NOV FUT,48874,NSE,D,FUTSTK
LTF NOV FUT,48878,NSE,D,FUTSTK
LTIM NOV FUT,48879,NSE,D,FUTSTK
LUPIN NOV FUT,48884,NSE,D,FUTSTK
M&M NOV FUT,48887,NSE,D,FUTSTK
MANAPPURAM NOV FUT,48888,NSE,D,FUTSTK
MANKIND NOV FUT,48889,NSE,D,FUTSTK
MARICO NOV FUT,48891,NSE,D,FUTSTK
MARUTI NOV FUT,48892,NSE,D,FUTSTK
MAXHEALTH NOV FUT,48896,NSE,D,FUTSTK
MAZDOCK NOV FUT,48897,NSE,D,FUTSTK
MCX NOV FUT,48898,NSE,D,FUTSTK
MFSL NOV FUT,48901,NSE,D,FUTSTK
MOTHERSON NOV FUT,48902,NSE,D,FUTSTK
MPHASIS NOV FUT,48904,NSE,D,FUTSTK
MUTHOOTFIN NOV FUT,48910,NSE,D,FUTSTK
NATIONALUM NOV FUT,48911,NSE,D,FUTSTK
NAUKRI NOV FUT,48916,NSE,D,FUTSTK
NBCC NOV FUT,48917,NSE,D,FUTSTK
NCC NOV FUT,48920,NSE,D,FUTSTK
NESTLEIND NOV FUT,48921,NSE,D,FUTSTK
NHPC NOV FUT,48931,NSE,D,FUTSTK
NMDC NOV FUT,48932,NSE,D,FUTSTK
NTPC NOV FUT,48960,NSE,D,FUTSTK
NUVAMA NOV FUT,48961,NSE,D,FUTSTK
NYKAA NOV FUT,48962,NSE,D,FUTSTK
OBEROIRLTY NOV FUT,48963,NSE,D,FUTSTK
OFSS NOV FUT,48995,NSE,D,FUTSTK
OIL NOV FUT,48996,NSE,D,FUTSTK
ONGC NOV FUT,49054,NSE,D,FUTSTK
PAGEIND NOV FUT,49055,NSE,D,FUTSTK
PATANJALI NOV FUT,49056,NSE,D,FUTSTK
PAYTM NOV FUT,49057,NSE,D,FUTSTK
PERSISTENT NOV FUT,49058,NSE,D,FUTSTK
PETRONET NOV FUT,49059,NSE,D,FUTSTK
PFC NOV FUT,49060,NSE,D,FUTSTK
PGEL NOV FUT,49061,NSE,D,FUTSTK
PHOENIXLTD NOV FUT,49062,NSE,D,FUTSTK
PIDILITIND NOV FUT,49064,NSE,D,FUTSTK
PIIND NOV FUT,49065,NSE,D,FUTSTK
PNB NOV FUT,49067,NSE,D,FUTSTK
PNBHOUSING NOV FUT,49068,NSE,D,FUTSTK
POLICYBZR NOV FUT,49069,NSE,D,FUTSTK
POLYCAB NOV FUT,49071,NSE,D,FUTSTK
POWERGRID NOV FUT,49073,NSE,D,FUTSTK
PPLPHARMA NOV FUT,49074,NSE,D,FUTSTK
PRESTIGE NOV FUT,49075,NSE,D,FUTSTK
RBLBANK NOV FUT,49076,NSE,D,FUTSTK
RECLTD NOV FUT,49077,NSE,D,FUTSTK
RELIANCE NOV FUT,49078,NSE,D,FUTSTK
RVNL NOV FUT,49079,NSE,D,FUTSTK
SAIL NOV FUT,49080,NSE,D,FUTSTK
SAMMAANCAP SEP FUT,49081,NSE,D,FUTSTK
SAMMAANCAP OCT FUT,49082,NSE,D,FUTSTK
SAMMAANCAP NOV FUT,49083,NSE,D,FUTSTK
SBICARD NOV FUT,49084,NSE,D,FUTSTK
SBILIFE NOV FUT,49085,NSE,D,FUTSTK
SBIN NOV FUT,49086,NSE,D,FUTSTK
SHREECEM NOV FUT,49087,NSE,D,FUTSTK
SHRIRAMFIN NOV FUT,49088,NSE,D,FUTSTK
SIEMENS NOV FUT,49089,NSE,D,FUTSTK
SOLARINDS NOV FUT,49090,NSE,D,FUTSTK
SONACOMS NOV FUT,49091,NSE,D,FUTSTK
SRF NOV FUT,49092,NSE,D,FUTSTK
SUNPHARMA NOV FUT,49093,NSE,D,FUTSTK
SUPREMEIND NOV FUT,49094,NSE,D,FUTSTK
SUZLON NOV FUT,49095,NSE,D,FUTSTK
SYNGENE NOV FUT,49096,NSE,D,FUTSTK
TATACONSUM NOV FUT,49097,NSE,D,FUTSTK
TATAELXSI NOV FUT,49108,NSE,D,FUTSTK
TATAMOTORS NOV FUT,49109,NSE,D,FUTSTK
TATAPOWER NOV FUT,49114,NSE,D,FUTSTK
TATASTEEL NOV FUT,49115,NSE,D,FUTSTK
TATATECH NOV FUT,49118,NSE,D,FUTSTK
TCS NOV FUT,49119,NSE,D,FUTSTK
TECHM NOV FUT,49126,NSE,D,FUTSTK
TIINDIA NOV FUT,49127,NSE,D,FUTSTK
TITAGARH NOV FUT,49130,NSE,D,FUTSTK
TITAN NOV FUT,49131,NSE,D,FUTSTK
TORNTPHARM NOV FUT,49132,NSE,D,FUTSTK
TORNTPOWER NOV FUT,49133,NSE,D,FUTSTK
TRENT NOV FUT,49134,NSE,D,FUTSTK
TVSMOTOR NOV FUT,49135,NSE,D,FUTSTK
ULTRACEMCO NOV FUT,49136,NSE,D,FUTSTK
UNIONBANK NOV FUT,49137,NSE,D,FUTSTK
